"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"0500000US41067","Washington County, Oregon","104434","1399",
"0500000US53001","Adams County, Washington","65042","4825",
"0500000US53003","Asotin County, Washington","69107","5408",
"0500000US53005","Benton County, Washington","87316","2359",
"0500000US53007","Chelan County, Washington","78306","5707",
"0500000US53009","Clallam County, Washington","67999","2005",
"0500000US53011","Clark County, Washington","94948","1484",
"0500000US53013","Columbia County, Washington","71528","3699",
"0500000US53015","Cowlitz County, Washington","72932","2981",
"0500000US53017","Douglas County, Washington","80374","4122",
"0500000US53019","Ferry County, Washington","54650","6933",
"0500000US53021","Franklin County, Washington","82755","3895",
"0500000US53023","Garfield County, Washington","62411","19026",
"0500000US53025","Grant County, Washington","71115","3731",
"0500000US53027","Grays Harbor County, Washington","63539","2689",
"0500000US53029","Island County, Washington","88358","2918",
"0500000US53031","Jefferson County, Washington","71143","4402",
"0500000US53033","King County, Washington","122148","931",
"0500000US53035","Kitsap County, Washington","98546","2118",
"0500000US53037","Kittitas County, Washington","69928","3828",
"0500000US53039","Klickitat County, Washington","70400","6000",
"0500000US53041","Lewis County, Washington","69690","3237",
"0500000US53043","Lincoln County, Washington","71227","3571",
"0500000US53045","Mason County, Washington","78359","4033",
"0500000US53047","Okanogan County, Washington","60293","4441",
"0500000US53049","Pacific County, Washington","62350","5688",
"0500000US53051","Pend Oreille County, Washington","63750","10130",
"0500000US53053","Pierce County, Washington","96632","1316",
"0500000US53055","San Juan County, Washington","83682","4942",
"0500000US53057","Skagit County, Washington","85474","2182",
"0500000US53059","Skamania County, Washington","90085","4420",
"0500000US53061","Snohomish County, Washington","107982","1708",
"0500000US53063","Spokane County, Washington","73513","1384",
"0500000US53065","Stevens County, Washington","67405","3514",
"0500000US53067","Thurston County, Washington","93985","1815",
"0500000US53069","Wahkiakum County, Washington","57091","6294",
"0500000US53071","Walla Walla County, Washington","72212","4129",
"0500000US53073","Whatcom County, Washington","80989","2462",
"0500000US53075","Whitman County, Washington","52893","4525",
"0500000US53077","Yakima County, Washington","68015","2240",
